Language,Dialect,DialectAlt,DialectContinuum,DialectContinuumAlt,SubDialect,SubDialectAlt,NativeSpeakers,LocationCountry,LocationCountryInfo,Level1Eng,Level2Eng,Level1Kur,Level2Kur,LocationOld,LocationAlt,LocationKur,LocationType,LocationInfo,,,DialectDensity,NativeSpeakersYear,OfficialLanguage,Notes,Sources
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Turkey,,Sanliurfa,,Sanliurfa,,Şanlıurfa,Riha,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Syria,,,,,,,,,,,,,,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Syria,,Hasaka,,Hasaka,,Hasaka,,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Iraq,,,,,,,,,,,,,,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Iraq,,Sinjar,,Şengal,,Sincar,,,region,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Syria,,Al Qamishli,,Qamişlo,,Al Qamishli,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southern Kurmanji,SK,,,,Turkey,,Midyat,,Midyat,,Midyat,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Anatolian Kurmanji,,,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Adyamani,Marashi,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Ashiti,Aşîtî,,,,,,,,,,,,,,,,,,,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,SEK,Badini,"Badînanî, Badînî",,,Southeast of Hakkâri Province,Semdinli,,Semdinli,,Şemdinli,Şemzînan,,district,,,,,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,,Badini,Badînanî,,,,,,,,,,,,,,,,,,,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Northern Kurdish,Kurmanji,,,Bayezídí,"Bayezidi, Bayezîdî",,,,,,,,,,,,,,,,,,,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Northern Kurdish,Kurmanji,,,Bekraní,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Bírjendí,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Botaní,"Botani, Boti, Bótánî",,,,,,,,,,,,,,,,,,,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Northern Kurdish,Kurmanji,,,Cezîrî,,,,,,,,,,,,,,,,,,,Literature language,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Northern Kurdish,Kurmanji,,,Hekkarí,Hekari,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Jiwanshírí,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Mihemedi,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Qocaní,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Senjarí,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Shemdinani,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Shikaki,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Silivi,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Surcí,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Urfí,,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,Yunekí,Judíkaní,,,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iran,,,Samalqan,,Samalqan,Samalqan,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iran,,,Bojnerd,,Bojnerd,Bojnurd,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iran,,,Shirvan,,Shirvan,Shirvan,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iran,,,Qochan,,Qochan,Qochan,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Haymana,,Haymana,Haymana,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Yunak,,Yunak,Yunak,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Cihanbeyli,,Cihanbeyli,Cihanbeyli,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Bafra,,Bafra,Bafra,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Payas,,Payas,Payas,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Islahiye,,Islahiye,Islahiye,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,None,,Netû,Maras,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Antep,,Antep,Antep,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Urfa,,Riha,Urfa,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Adiyaman,,Adiyaman,Adiyaman,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Elazig,,Elazig,Elazig,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Diyarbakir,,Amed,Diyarbakir,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Batman,,Êlih,Batman,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Cizire,,Cizire,Cizire,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Bitlis,,Bedlîs,Bitlis,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Mus,,Mûş,Mus,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Sarikamis,,Di rafteran de,Sarikamis,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Ardahan,,Ardahan,Ardahan,,,City,,,,middle,,,,(Aygen 2010)
